service_id,date,exception_type
1.1.H2360,20221014,1
1.1.H2340,20221015,1
1.1.H2343,20221016,1
1.1.H2359,20221017,1
1.1.H2359,20221018,1
1.1.H2359,20221019,1
1.1.H2359,20221020,1
1.1.H2360,20221021,1
1.1.H2340,20221022,1
1.1.H2343,20221023,1
1.1.H2359,20221024,1
1.1.H2359,20221025,1
1.1.H2359,20221026,1
1.1.H2359,20221027,1
1.1.H2360,20221028,1
1.1.H2340,20221029,1
1.1.H2343,20221030,1
1.1.H2359,20221031,1
1.1.H2343,20221101,1
1.1.H2359,20221102,1
1.1.H2359,20221103,1
1.1.H2360,20221104,1
1.1.H2340,20221105,1
1.1.H2343,20221106,1
1.1.H2359,20221107,1
1.1.H2359,20221108,1
1.1.H2359,20221109,1
1.1.H2359,20221110,1
1.1.H2360,20221111,1
1.1.H2340,20221112,1
1.1.H2343,20221113,1
1.1.H2359,20221114,1
1.1.H2359,20221115,1
1.1.H2359,20221116,1
1.1.H2359,20221117,1
1.1.H2360,20221118,1
1.1.H2340,20221119,1
1.1.H2343,20221120,1
1.1.H2359,20221121,1
1.1.H2359,20221122,1
1.1.H2359,20221123,1
1.1.H2359,20221124,1
1.1.H2360,20221125,1
1.1.H2340,20221126,1
1.1.H2343,20221127,1
1.1.H2359,20221128,1
1.1.H2359,20221129,1
1.1.H2359,20221130,1
1.1.H2359,20221201,1
1.1.H2360,20221202,1
1.1.H2340,20221203,1
1.1.H2343,20221204,1
1.1.H2359,20221205,1
1.1.H2343,20221206,1
1.1.H2359,20221207,1
1.1.H2343,20221208,1
1.1.H2360,20221209,1
1.1.H2340,20221210,1
1.1.H2343,20221211,1
1.1.H2359,20221212,1
1.1.H2359,20221213,1
1.1.H2359,20221214,1
1.1.H2359,20221215,1
1.1.H2360,20221216,1
1.1.H2340,20221217,1
1.1.H2343,20221218,1
1.1.H2359,20221219,1
1.1.H2359,20221220,1
1.1.H2359,20221221,1
1.1.H2359,20221222,1
1.1.H2360,20221223,1
1.1.H2340,20221224,1
1.1.H2343,20221225,1
1.1.H2343,20221226,1
1.1.H2359,20221227,1
1.1.H2359,20221228,1
1.1.H2359,20221229,1
1.1.H2360,20221230,1
1.1.H2340,20221231,1
1.1.H2343,20230101,1
1.1.H2359,20230102,1
1.1.H2359,20230103,1
1.1.H2359,20230104,1
1.1.H2359,20230105,1
1.1.H2343,20230106,1
1.1.H2340,20230107,1
1.1.H2343,20230108,1
1.1.H2359,20230109,1
1.1.H2359,20230110,1
1.1.H2359,20230111,1
1.1.H2359,20230112,1
1.1.H2360,20230113,1
1.1.H2340,20230114,1
1.1.H2343,20230115,1
1.1.H2359,20230116,1
1.1.H2359,20230117,1
1.1.H2359,20230118,1
1.1.H2359,20230119,1
1.1.H2360,20230120,1
1.1.H2340,20230121,1
1.1.H2343,20230122,1
1.1.H2359,20230123,1
1.1.H2359,20230124,1
1.1.H2359,20230125,1
1.1.H2359,20230126,1
1.1.H2360,20230127,1
1.1.H2340,20230128,1
1.1.H2343,20230129,1
1.1.H2359,20230130,1
1.1.H2359,20230131,1
1.1.H2359,20230201,1
1.1.H2359,20230202,1
1.1.H2360,20230203,1
1.1.H2340,20230204,1
1.1.H2343,20230205,1
1.1.H2359,20230206,1
1.1.H2359,20230207,1
1.1.H2359,20230208,1
1.1.H2359,20230209,1
1.1.H2360,20230210,1
1.1.H2340,20230211,1
1.1.H2343,20230212,1
1.1.H2359,20230213,1
1.1.H2359,20230214,1
1.1.H2359,20230215,1
1.1.H2359,20230216,1
1.1.H2360,20230217,1
1.1.H2340,20230218,1
1.1.H2343,20230219,1
1.1.H2359,20230220,1
1.1.H2359,20230221,1
1.1.H2359,20230222,1
1.1.H2359,20230223,1
1.1.H2360,20230224,1
1.1.H2340,20230225,1
1.1.H2343,20230226,1
1.1.H2359,20230227,1
1.1.H2359,20230228,1
1.1.H2359,20230301,1
1.1.H2359,20230302,1
1.1.H2360,20230303,1
1.1.H2340,20230304,1
1.1.H2343,20230305,1
1.1.H2359,20230306,1
1.1.H2359,20230307,1
1.1.H2359,20230308,1
1.1.H2359,20230309,1
1.1.H2360,20230310,1
1.1.H2340,20230311,1
1.1.H2343,20230312,1
1.1.H2359,20230313,1
1.1.H2359,20230314,1
1.1.H2359,20230315,1
1.1.H2359,20230316,1
1.1.H2360,20230317,1
1.1.H2340,20230318,1
1.1.H2343,20230319,1
1.1.H2359,20230320,1
1.1.H2359,20230321,1
1.1.H2359,20230322,1
1.1.H2359,20230323,1
1.1.H2360,20230324,1
1.1.H2340,20230325,1
1.1.H2343,20230326,1
1.1.H2359,20230327,1
1.1.H2359,20230328,1
1.1.H2359,20230329,1
1.1.H2359,20230330,1
1.1.H2360,20230331,1
1.1.H2340,20230401,1
1.1.H2343,20230402,1
1.1.H2359,20230403,1
1.1.H2359,20230404,1
1.1.H2359,20230405,1
1.1.H2359,20230406,1
1.1.H2343,20230407,1
1.1.H2340,20230408,1
1.1.H2343,20230409,1
1.1.H2343,20230410,1
1.1.H2359,20230411,1
1.1.H2359,20230412,1
1.1.H2359,20230413,1
1.1.H2360,20230414,1
1.1.H2340,20230415,1
1.1.H2343,20230416,1
1.1.H2359,20230417,1
1.1.H2359,20230418,1
1.1.H2359,20230419,1
1.1.H2359,20230420,1
1.1.H2360,20230421,1
1.1.H2340,20230422,1
1.1.H2343,20230423,1
1.1.H2359,20230424,1
1.1.H2359,20230425,1
1.1.H2359,20230426,1
1.1.H2359,20230427,1
1.1.H2360,20230428,1
1.1.H2340,20230429,1
1.1.H2343,20230430,1
1.1.H2343,20230501,1
1.1.H2359,20230502,1
1.1.H2359,20230503,1
1.1.H2359,20230504,1
1.1.H2360,20230505,1
1.1.H2340,20230506,1
1.1.H2343,20230507,1
1.1.H2359,20230508,1
1.1.H2359,20230509,1
1.1.H2359,20230510,1
1.1.H2359,20230511,1
1.1.H2360,20230512,1
1.1.H2340,20230513,1
1.1.H2343,20230514,1
1.1.H2359,20230515,1
1.1.H2359,20230516,1
1.1.H2359,20230517,1
1.1.H2359,20230518,1
1.1.H2360,20230519,1
1.1.H2340,20230520,1
1.1.H2343,20230521,1
1.1.H2359,20230522,1
1.1.H2359,20230523,1
1.1.H2359,20230524,1
1.1.H2359,20230525,1
1.1.H2360,20230526,1
1.1.H2340,20230527,1
1.1.H2343,20230528,1
1.1.H2359,20230529,1
1.1.H2359,20230530,1
